         2000     0.01000           2     4.00000
            0     1.20000     1.20000     1.20000
     3.5400       0.00000    -16.27045    -16.27045    -16.27045
     3.5500       0.00000    -16.22462    -16.22462    -16.22462
     3.5600       0.00000    -16.17904    -16.17904    -16.17904
     3.5700       0.00000    -16.13372    -16.13372    -16.13372
     3.5800       0.00000    -16.08866    -16.08866    -16.08866
     3.5900       0.00000    -16.04384    -16.04384    -16.04384
     3.6000       0.00000    -15.99927    -15.99927    -15.99927
     3.6100       0.00000    -15.95495    -15.95495    -15.95495
     3.6200       0.00000    -15.91088    -15.91088    -15.91088
     3.6300       0.00000    -15.86705    -15.86705    -15.86705
     3.6400       0.00000    -15.82346    -15.82346    -15.82346
     3.6500       0.00000    -15.78011    -15.78011    -15.78011
     3.6600       0.00000    -15.73699    -15.73699    -15.73699
     3.6700       0.00000    -15.69411    -15.69411    -15.69411
     3.6800       0.00000    -15.65146    -15.65146    -15.65146
     3.6900       0.00000    -15.60905    -15.60905    -15.60905
     3.7000       0.00000    -15.56686    -15.56686    -15.56686
     3.7100       0.00000    -15.52490    -15.52490    -15.52490
     3.7200       0.00000    -15.48317    -15.48317    -15.48317
     3.7300       0.00000    -15.44166    -15.44166    -15.44166
     3.7400       0.00000    -15.40037    -15.40037    -15.40037
     3.7500       0.00000    -15.35930    -15.35930    -15.35930
     3.7600       0.00000    -15.31846    -15.31846    -15.31846
     3.7700       0.00000    -15.27782    -15.27782    -15.27782
     3.7800       0.00000    -15.23740    -15.23740    -15.23740
     3.7900       0.00000    -15.19720    -15.19720    -15.19720
     3.8000       0.00000    -15.15721    -15.15721    -15.15721
     3.8100       0.00000    -15.11743    -15.11743    -15.11743
     3.8200       0.00000    -15.07785    -15.07785    -15.07785
     3.8300       0.00000    -15.03848    -15.03848    -15.03848
     3.8400       0.00000    -14.99932    -14.99932    -14.99932
     3.8500       0.00000    -14.96036    -14.96036    -14.96036
     3.8600       0.00000    -14.92160    -14.92160    -14.92160
     3.8700       0.00000    -14.88305    -14.88305    -14.88305
     3.8800       0.00000    -14.84469    -14.84469    -14.84469
     3.8900       0.00000    -14.80653    -14.80653    -14.80653
     3.9000       0.00000    -14.76856    -14.76856    -14.76856
     3.9100       0.00000    -14.73079    -14.73079    -14.73079
     3.9200       0.00000    -14.69321    -14.69321    -14.69321
     3.9300       0.00000    -14.65583    -14.65583    -14.65583
     3.9400       0.00000    -14.61863    -14.61863    -14.61863
     3.9500       0.00000    -14.58162    -14.58162    -14.58162
     3.9600       0.00000    -14.54480    -14.54480    -14.54480
     3.9700       0.00000    -14.50816    -14.50816    -14.50816
     3.9800       0.00000    -14.47171    -14.47171    -14.47171
     3.9900       0.00000    -14.43544    -14.43544    -14.43544
     4.0000       0.00000    -14.39935    -14.39935    -14.39935
     4.0100       0.00000    -14.36344    -14.36344    -14.36344
     4.0200       0.00000    -14.32771    -14.32771    -14.32771
     4.0300       0.00000    -14.29216    -14.29216    -14.29216
     4.0400       0.00000    -14.25678    -14.25678    -14.25678
     4.0500       0.00000    -14.22158    -14.22158    -14.22158
     4.0600       0.00000    -14.18655    -14.18655    -14.18655
     4.0700       0.00000    -14.15169    -14.15169    -14.15169
     4.0800       0.00000    -14.11701    -14.11701    -14.11701
     4.0900       0.00000    -14.08249    -14.08249    -14.08249
     4.1000       0.00000    -14.04815    -14.04815    -14.04815
     4.1100       0.00000    -14.01397    -14.01397    -14.01397
     4.1200       0.00000    -13.97995    -13.97995    -13.97995
     4.1300       0.00000    -13.94610    -13.94610    -13.94610
     4.1400       0.00000    -13.91241    -13.91241    -13.91241
     4.1500       0.00000    -13.87889    -13.87889    -13.87889
     4.1600       0.00000    -13.84553    -13.84553    -13.84553
     4.1700       0.00000    -13.81233    -13.81233    -13.81233
     4.1800       0.00000    -13.77928    -13.77928    -13.77928
     4.1900       0.00000    -13.74640    -13.74640    -13.74640
     4.2000       0.00000    -13.71367    -13.71367    -13.71367
     4.2100       0.00000    -13.68109    -13.68109    -13.68109
     4.2200       0.00000    -13.64867    -13.64867    -13.64867
     4.2300       0.00000    -13.61641    -13.61641    -13.61641
     4.2400       0.00000    -13.58429    -13.58429    -13.58429
     4.2500       0.00000    -13.55233    -13.55233    -13.55233
     4.2600       0.00000    -13.52052    -13.52052    -13.52052
     4.2700       0.00000    -13.48885    -13.48885    -13.48885
     4.2800       0.00000    -13.45734    -13.45734    -13.45734
     4.2900       0.00000    -13.42597    -13.42597    -13.42597
     4.3000       0.00000    -13.39474    -13.39474    -13.39474
     4.3100       0.00000    -13.36367    -13.36367    -13.36367
     4.3200       0.00000    -13.33273    -13.33273    -13.33273
     4.3300       0.00000    -13.30194    -13.30194    -13.30194
     4.3400       0.00000    -13.27129    -13.27129    -13.27129
     4.3500       0.00000    -13.24078    -13.24078    -13.24078
     4.3600       0.00000    -13.21041    -13.21041    -13.21041
     4.3700       0.00000    -13.18018    -13.18018    -13.18018
     4.3800       0.00000    -13.15009    -13.15009    -13.15009
     4.3900       0.00000    -13.12014    -13.12014    -13.12014
     4.4000       0.00000    -13.09032    -13.09032    -13.09032
     4.4100       0.00000    -13.06063    -13.06063    -13.06063
     4.4200       0.00000    -13.03109    -13.03109    -13.03109
     4.4300       0.00000    -13.00167    -13.00167    -13.00167
     4.4400       0.00000    -12.97239    -12.97239    -12.97239
     4.4500       0.00000    -12.94324    -12.94324    -12.94324
     4.4600       0.00000    -12.91422    -12.91422    -12.91422
     4.4700       0.00000    -12.88532    -12.88532    -12.88532
     4.4800       0.00000    -12.85656    -12.85656    -12.85656
     4.4900       0.00000    -12.82793    -12.82793    -12.82793
     4.5000       0.00000    -12.79942    -12.79942    -12.79942
     4.5100       0.00000    -12.77104    -12.77104    -12.77104
     4.5200       0.00000    -12.74279    -12.74279    -12.74279
     4.5300       0.00000    -12.71466    -12.71466    -12.71466
     4.5400       0.00000    -12.68665    -12.68665    -12.68665
     4.5500       0.00000    -12.65877    -12.65877    -12.65877
     4.5600       0.00000    -12.63101    -12.63101    -12.63101
     4.5700       0.00000    -12.60337    -12.60337    -12.60337
     4.5800       0.00000    -12.57585    -12.57585    -12.57585
     4.5900       0.00000    -12.54845    -12.54845    -12.54845
     4.6000       0.00000    -12.52117    -12.52117    -12.52117
     4.6100       0.00000    -12.49401    -12.49401    -12.49401
     4.6200       0.00000    -12.46697    -12.46697    -12.46697
     4.6300       0.00000    -12.44004    -12.44004    -12.44004
     4.6400       0.00000    -12.41323    -12.41323    -12.41323
     4.6500       0.00000    -12.38654    -12.38654    -12.38654
     4.6600       0.00000    -12.35996    -12.35996    -12.35996
     4.6700       0.00000    -12.33349    -12.33349    -12.33349
     4.6800       0.00000    -12.30714    -12.30714    -12.30714
     4.6900       0.00000    -12.28090    -12.28090    -12.28090
     4.7000       0.00000    -12.25477    -12.25477    -12.25477
     4.7100       0.00000    -12.22875    -12.22875    -12.22875
     4.7200       0.00000    -12.20284    -12.20284    -12.20284
     4.7300       0.00000    -12.17704    -12.17704    -12.17704
     4.7400       0.00000    -12.15135    -12.15135    -12.15135
     4.7500       0.00000    -12.12577    -12.12577    -12.12577
